ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
19,Iowa,IA,19001,Adair County,19001960100,Census Tract 9601; Adair County; Iowa,273.329109306268,2813,185,1322,79,1198,79,590,175,38,32,248,72,89,40,243,126,584,70,616,109,487,97,91,57,0,40,193,260,29,21,36,27,5,12,46,23,75,3,21.5,6.2,2.8,2.3,20.7,5.9,4.5,2.0,8.9,4.5,20.8,2.8,21.9,2.9,17.8,3.2,7.6,4.7,0.0,1.6,6.9,9.2,2.2,1.6,2.7,2.0,0.4,1.0,3.8,1.9,2.7,0.2,0.6547,0.4378,0.5455,0.3415,0.8723,2.8518,0.6386,0.6495,0.4211,0.8712,0.7823,0.0,2.7241,0.6554,0.3147,0.3147,0.3147,0.3895,0.642,0.3232,0.459,0.7514,2.5651,0.5814,8.4557,0.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,244,72,0,10,162,30,0,10,0,10,0,10,31,23,0,10,20.4,5.7,0.0,0.9,5.8,1.1,0.0,0.9,0.0,0.9,0.0,0.9,1.1,0.8,0.0,0.9
19,Iowa,IA,19001,Adair County,19001960200,Census Tract 9602; Adair County; Iowa,257.170374581572,1737,142,820,71,702,66,301,94,59,29,76,27,44,20,27,18,389,77,373,84,201,52,3,10,0,40,75,202,0,14,14,11,3,10,6,5,0,10,17.4,5.2,6.1,2.8,10.8,3.7,3.6,1.7,1.6,1.0,22.4,4.3,21.5,3.8,11.6,3.0,0.4,1.4,0.0,2.4,4.3,11.6,0.0,1.7,1.7,1.4,0.4,1.4,0.9,0.7,0.0,0.6,0.5,0.813,0.0718,0.2553,0.1165,1.7566,0.2761,0.7514,0.3919,0.439,0.0292,0.0,1.6115,0.1134,0.1377,0.1377,0.1377,0.0,0.5432,0.3232,0.0954,0.0,0.9618,0.0426,4.4676,0.0584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,120,50,0,10,24,26,0,10,0,10,12,17,13,13,26,34,17.1,6.8,0.0,1.4,1.4,1.5,0.0,1.4,0.0,1.4,0.7,1.0,0.7,0.8,1.5,1.9
19,Iowa,IA,19001,Adair County,19001960300,Census Tract 9603; Adair County; Iowa,38.770926926662,2929,203,1464,87,1324,98,663,188,51,39,272,63,94,39,85,38,686,82,664,101,383,86,55,26,0,40,165,292,63,34,24,15,8,13,94,44,87,11,23.4,6.4,3.5,2.7,20.5,4.5,4.5,1.8,3.0,1.3,23.4,2.6,22.7,2.6,13.5,3.2,4.1,1.9,0.0,1.4,5.6,10.0,4.3,2.3,1.6,1.0,0.6,1.0,7.1,3.2,3.0,0.3,0.7007,0.551,0.5309,0.3415,0.3326,2.4567,0.5275,0.8074,0.4994,0.6047,0.4007,0.0,2.3122,0.4119,0.224,0.224,0.224,0.5095,0.5342,0.3895,0.7329,0.7816,2.9477,0.7531,7.9406,0.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,293,76,48,35,10,18,9,11,0,10,0,10,75,34,23,31,22.1,5.7,1.6,1.2,0.3,0.6,0.3,0.4,0.0,0.8,0.0,0.8,2.6,1.2,0.8,1.1
19,Iowa,IA,19003,Adams County,19003950100,Census Tract 9501; Adams County; Iowa,339.49822797697,1670,115,807,59,666,61,245,93,32,25,140,47,36,26,131,58,337,47,386,75,204,53,36,23,0,40,86,166,0,14,60,25,6,7,4,5,5,3,14.7,5.5,3.7,3.0,21.0,6.8,3.1,2.2,7.8,3.3,20.2,2.9,23.1,3.5,12.2,3.1,5.5,3.4,0.0,2.6,5.1,9.9,0.0,1.7,7.4,3.0,1.0,1.0,0.6,0.8,0.3,0.2,0.3789,0.5823,0.5511,0.2116,0.8253,2.5492,0.5522,0.6069,0.533,0.4905,0.5948,0.0,2.2252,0.3591,0.1982,0.1982,0.1982,0.0,0.8642,0.5219,0.0572,0.3606,1.8039,0.2783,6.7765,0.3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,111,34,1,2,39,25,0,10,0,10,0,10,45,30,1,3,16.7,5.0,0.1,0.1,2.3,1.5,0.0,1.5,0.0,1.5,0.0,1.5,2.7,1.8,0.1,0.2
19,Iowa,IA,19003,Adams County,19003950200,Census Tract 9502; Adams County; Iowa,83.93452845104,2010,115,1086,60,857,65,379,64,46,38,161,43,122,47,47,34,509,46,391,73,329,63,53,28,4,39,124,164,19,14,69,26,0,14,63,26,104,12,19.6,3.1,4.7,3.8,18.8,4.8,8.2,3.1,2.4,1.7,25.3,2.6,19.5,3.0,16.8,3.5,6.2,3.2,0.2,2.0,6.2,8.2,1.8,1.3,6.4,2.4,0.0,1.6,7.4,3.0,5.2,0.5,0.5863,0.6976,0.4501,0.682,0.234,2.65,0.5769,0.9015,0.2363,0.8253,0.6689,0.3729,3.0049,0.8025,0.2632,0.2632,0.2632,0.3569,0.8373,0.0,0.7531,0.8914,2.8387,0.7093,8.7568,0.6768,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2248,132,40,10,10,33,25,0,10,16,21,0,10,65,30,0,10,15.4,4.5,0.5,0.5,1.6,1.2,0.0,1.2,0.8,1.1,0.0,1.2,3.2,1.5,0.0,1.2
19,Iowa,IA,19005,Allamakee County,19005960100,Census Tract 9601; Allamakee County; Iowa,130.430866820366,1977,234,1361,146,930,130,568,140,24,24,243,80,85,43,56,35,626,133,347,68,303,104,14,21,0,40,43,333,31,29,196,78,0,14,21,19,40,2,29.6,6.3,2.5,2.5,26.1,7.8,5.6,2.7,2.9,1.7,31.7,5.9,17.6,3.4,15.6,4.7,1.5,2.2,0.0,2.2,2.2,16.8,2.3,2.1,14.4,5.3,0.0,1.5,2.3,2.0,2.0,0.3,0.8352,0.3673,0.7632,0.4602,0.3102,2.7361,0.6027,0.9922,0.131,0.7682,0.0909,0.0,1.9823,0.2391,0.0347,0.0347,0.0347,0.3984,0.954,0.0,0.2873,0.6663,2.306,0.4669,7.0591,0.3984,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1264,210,76,15,23,16,16,0,10,12,18,0,10,0,10,0,10,22.6,7.1,0.8,1.1,0.8,0.8,0.0,1.3,0.6,0.9,0.0,1.3,0.0,1.3,0.0,1.3
19,Iowa,IA,19005,Allamakee County,19005960200,Census Tract 9602; Allamakee County; Iowa,217.084520150814,2314,224,1135,93,1000,113,170,87,5,8,113,62,41,26,36,31,482,93,406,89,249,82,11,12,0,40,54,323,0,14,138,68,0,14,51,49,39,11,7.5,3.7,0.4,0.6,11.3,6.1,2.4,1.5,1.6,1.4,20.8,4.0,17.5,3.5,10.9,3.7,1.1,1.2,0.0,1.8,2.3,14.0,0.0,1.2,12.2,6.0,0.0,1.4,5.1,4.9,1.7,0.4,0.0841,0.0381,0.0842,0.1445,0.1165,0.4674,0.018,0.6495,0.1288,0.3684,0.0651,0.0,1.2118,0.0438,0.0392,0.0392,0.0392,0.0,0.9338,0.0,0.5769,0.6148,2.1255,0.3973,3.8439,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1108,146,62,6,11,4,8,0,10,0,10,0,10,44,39,0,10,14.6,6.1,0.3,0.5,0.2,0.4,0.0,1.1,0.0,1.1,0.0,1.1,1.9,1.7,0.0,1.1
19,Iowa,IA,19005,Allamakee County,19005960300,Census Tract 9603; Allamakee County; Iowa,11.827524728422,4161,174,2040,166,1874,172,852,267,94,63,302,92,260,92,151,86,979,119,983,140,597,154,62,46,0,40,189,272,76,46,174,74,0,14,57,38,149,4,21.3,6.6,4.4,3.0,16.1,4.7,9.1,3.1,3.7,2.1,23.5,2.9,23.6,3.2,14.8,3.8,3.3,2.4,0.0,1.0,4.5,6.5,3.7,2.2,8.5,3.7,0.0,0.7,3.0,2.0,3.6,0.2,0.6491,0.6674,0.303,0.738,0.4513,2.8088,0.6251,0.8163,0.5845,0.71,0.3019,0.0,2.4127,0.4759,0.1467,0.1467,0.1467,0.4759,0.8844,0.0,0.3782,0.8275,2.566,0.5836,7.9342,0.5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5196,329,102,1,3,86,72,26,39,24,23,0,10,52,51,0,10,17.6,5.2,0.0,0.1,2.1,1.7,0.6,1.0,0.6,0.6,0.0,0.6,1.2,1.2,0.0,0.6
19,Iowa,IA,19005,Allamakee County,19005960400,Census Tract 9604; Allamakee County; Iowa,178.589040321462,2072,207,1865,150,967,115,207,78,46,42,160,58,125,61,89,60,617,135,380,108,218,72,6,12,0,40,11,291,39,23,603,127,0,14,26,19,0,10,10.0,3.6,4.1,3.5,16.5,5.7,7.5,3.6,4.3,3.0,29.8,6.4,18.3,4.4,10.5,3.6,0.6,1.2,0.0,2.1,0.5,14.0,2.1,1.2,32.3,6.2,0.0,1.4,2.7,1.8,0.0,0.5,0.1738,0.6338,0.33,0.6316,0.5431,2.3123,0.4781,0.9776,0.1613,0.3247,0.0337,0.0,1.4973,0.0797,0.0011,0.0011,0.0011,0.385,0.9944,0.0,0.3378,0.0,1.7172,0.248,5.5279,0.1627,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,538,88,29,0,10,5,8,0,10,0,10,0,10,6,5,0,10,9.1,2.8,0.0,1.2,0.2,0.4,0.0,1.2,0.0,1.2,0.0,1.2,0.3,0.3,0.0,1.2
19,Iowa,IA,19005,Allamakee County,19005960500,Census Tract 9605; Allamakee County; Iowa,101.138887237546,3522,256,1295,102,1199,110,897,226,56,36,234,71,297,78,556,200,486,77,1203,170,242,68,87,48,429,124,1240,367,59,44,55,31,34,29,82,53,55,2,26.0,6.3,3.5,2.2,19.5,5.6,15.0,3.9,16.0,5.6,13.8,2.3,34.2,3.2,7.0,2.1,7.2,3.9,13.3,3.7,35.2,10.1,4.6,3.4,4.2,2.5,2.9,2.4,6.8,4.4,1.6,0.1,0.7724,0.551,0.4848,0.9048,0.9787,3.6917,0.8462,0.2184,0.9854,0.0817,0.7508,0.981,3.0173,0.807,0.9003,0.9003,0.9003,0.523,0.7464,0.826,0.7149,0.5935,3.4038,0.9068,11.0131,0.9248,0,0,0,1,1,2,0,1,0,0,1,2,1,1,0,0,0,0,0,0,5,3079,225,74,219,80,936,75,58,44,0,10,0,10,27,27,0,10,18.8,5.7,6.2,2.3,26.6,2.8,1.6,1.3,0.0,0.7,0.0,0.7,0.8,0.8,0.0,0.7
19,Iowa,IA,19007,Appanoose County,19007950100,Census Tract 9501; Appanoose County; Iowa,157.781361067734,2440,233,1152,98,924,80,609,170,59,58,175,42,92,34,205,99,517,72,595,110,350,74,28,13,0,40,96,326,2,10,67,26,1,10,35,17,10,18,25.1,6.6,5.0,4.8,18.9,4.2,5.7,2.1,8.4,3.7,21.2,3.2,24.4,3.3,14.4,3.3,3.0,1.4,0.0,1.7,3.9,13.4,0.2,0.9,5.8,2.2,0.1,1.1,3.8,1.8,0.4,0.7,0.7545,0.7268,0.4557,0.4703,0.8511,3.2584,0.7464,0.6865,0.6517,0.6786,0.257,0.0,2.2738,0.3883,0.1176,0.1176,0.1176,0.1818,0.8114,0.257,0.459,0.3863,2.0955,0.3838,7.7453,0.5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,130,37,0,10,0,10,28,29,0,10,0,10,68,66,0,10,14.1,3.8,0.0,1.0,0.0,1.0,1.1,1.2,0.0,1.0,0.0,1.0,2.8,2.6,0.0,1.0
