ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
31,Nebraska,NE,31001,Adams County,31001965400,Census Tract 9654; Adams County; Nebraska,182.057077983822,4509,300,1827,103,1722,101,342,99,42,26,203,56,94,45,138,56,895,119,1181,150,492,103,43,20,42,62,303,417,0,14,60,24,32,22,34,27,46,6,7.7,2.2,1.8,1.1,11.8,3.2,3.0,1.4,3.1,1.2,19.8,2.8,26.2,2.3,11.0,2.3,2.5,1.2,1.0,1.5,6.7,9.2,0.0,0.8,3.3,1.3,1.8,1.3,2.0,1.5,1.0,0.1,0.1779,0.3739,0.0982,0.183,0.1488,0.9818,0.08,0.6304,0.6594,0.3938,0.2273,0.5435,2.4544,0.5,0.163,0.163,0.163,0.0,0.6891,0.6364,0.3018,0.5761,2.2034,0.4455,5.8026,0.2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,109,40,59,53,76,52,87,103,10,9,0,10,71,57,0,10,6.3,2.3,1.3,1.2,1.7,1.1,1.9,2.3,0.2,0.2,0.0,0.6,1.6,1.2,0.0,0.6
31,Nebraska,NE,31001,Adams County,31001965500,Census Tract 9655; Adams County; Nebraska,4.047353211302,4474,447,1765,172,1666,200,1153,399,34,30,403,149,343,144,193,80,710,98,1275,210,401,107,39,40,131,83,589,642,13,21,0,10,114,108,5,7,95,6,25.9,8.6,1.5,1.3,24.2,8.5,11.8,5.1,4.3,1.9,15.9,2.2,28.5,3.5,9.0,2.5,2.3,2.4,3.1,1.9,13.2,14.3,0.7,1.2,0.0,1.4,6.8,6.4,0.3,0.5,2.1,0.2,0.7659,0.3031,0.6309,0.7917,0.2668,2.7584,0.6018,0.4547,0.7935,0.2214,0.2,0.7808,2.4504,0.4964,0.4185,0.4185,0.4185,0.2382,0.0,0.9418,0.0618,0.7428,1.9846,0.3564,7.6119,0.4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4795,146,71,21,41,309,191,135,106,0,10,0,10,106,85,18,31,8.8,4.3,0.5,0.9,6.9,4.3,3.0,2.4,0.0,0.6,0.0,0.6,2.4,1.9,0.4,0.7
31,Nebraska,NE,31001,Adams County,31001965600,Census Tract 9656; Adams County; Nebraska,6.775192026748,5328,421,2136,201,1999,192,872,242,123,61,349,134,132,80,293,135,832,142,1130,203,638,164,85,81,5,58,1062,569,114,93,141,73,17,21,63,41,644,17,18.8,4.9,4.4,2.2,17.5,6.5,4.2,2.6,5.5,2.5,15.6,2.7,21.2,3.2,12.0,3.3,4.3,4.0,0.1,1.2,19.9,10.6,5.3,4.3,6.6,3.4,0.9,1.0,3.2,2.1,12.1,1.0,0.5626,0.784,0.3527,0.2971,0.3829,2.3793,0.4855,0.4384,0.2899,0.4773,0.4618,0.2138,1.8812,0.1709,0.6033,0.6033,0.6033,0.4818,0.8382,0.4382,0.4727,0.9583,3.1892,0.8455,8.053,0.5582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3800,233,107,102,106,765,210,13,21,27,44,2,6,144,114,9,16,11.7,5.2,1.9,2.0,14.4,3.8,0.2,0.4,0.5,0.8,0.0,0.1,2.7,2.1,0.2,0.3
31,Nebraska,NE,31001,Adams County,31001965700,Census Tract 9657; Adams County; Nebraska,0.39934915962,1500,220,770,98,675,92,350,133,14,20,207,84,80,51,141,82,171,65,212,69,429,140,31,23,102,120,334,313,113,49,0,10,0,14,101,65,77,17,24.4,8.5,1.7,2.5,30.7,11.7,8.8,5.7,9.7,5.3,11.4,3.7,14.1,4.5,29.5,8.3,4.6,3.3,7.1,8.3,22.3,20.6,14.6,6.1,0.0,3.2,0.0,2.1,15.0,9.2,5.1,0.9,0.7205,0.363,0.7836,0.6775,0.7132,3.2578,0.7527,0.2337,0.0471,0.9927,0.4927,0.9058,2.672,0.62,0.654,0.654,0.654,0.7273,0.0,0.0,0.9418,0.9058,2.5749,0.5964,9.1587,0.7164,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,2,4,5358,95,42,4,5,244,158,0,10,6,12,0,10,45,34,35,44,14.1,6.0,0.3,0.3,16.3,10.0,0.0,1.7,0.4,0.8,0.0,1.7,3.0,2.2,2.3,3.0
31,Nebraska,NE,31001,Adams County,31001965800,Census Tract 9658; Adams County; Nebraska,0.63999495316,2240,296,1136,110,985,111,464,192,51,54,241,100,182,97,266,162,340,58,582,155,336,83,48,32,38,54,548,413,0,14,17,27,13,18,34,26,0,10,21.5,8.4,4.1,4.1,24.5,9.8,13.1,6.2,11.9,7.1,15.2,3.0,26.0,4.8,15.0,3.2,4.9,3.2,1.8,2.6,24.5,18.2,0.0,1.2,1.5,2.5,1.3,1.8,3.5,2.5,0.0,0.4,0.6661,0.7514,0.6327,0.8279,0.8076,3.6857,0.8273,0.4112,0.6504,0.7332,0.5291,0.6812,3.0051,0.7982,0.683,0.683,0.683,0.0,0.5655,0.52,0.5127,0.0,1.5982,0.2327,8.972,0.6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,65,49,0,10,357,191,6,9,10,12,0,10,154,106,21,31,6.6,4.9,0.0,1.1,15.9,8.0,0.3,0.4,0.4,0.6,0.0,1.1,6.9,4.7,0.9,1.4
31,Nebraska,NE,31001,Adams County,31001965900,Census Tract 9659; Adams County; Nebraska,6.861227907612,4027,375,1887,157,1779,148,299,122,21,24,298,98,107,66,131,82,975,112,818,98,641,186,46,33,19,41,287,533,137,69,0,10,11,18,83,41,31,6,7.5,3.0,0.9,1.1,16.8,5.3,3.7,2.3,3.3,2.1,24.2,2.1,20.3,2.4,16.0,3.8,2.5,1.8,0.5,1.1,7.1,13.2,7.3,3.6,0.0,1.3,0.6,1.0,4.7,2.4,0.8,0.1,0.1724,0.1688,0.3109,0.2518,0.1724,1.0763,0.0982,0.8442,0.2373,0.7913,0.2273,0.3913,2.4914,0.52,0.1793,0.1793,0.1793,0.5673,0.0,0.3545,0.6327,0.5562,2.1107,0.3964,5.8577,0.2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3325,304,100,7,14,220,134,37,42,2,4,0,10,21,24,0,10,17.1,5.5,0.2,0.3,5.5,3.3,0.9,1.0,0.0,0.1,0.0,0.6,0.5,0.6,0.0,0.6
31,Nebraska,NE,31001,Adams County,31001966000,Census Tract 9660; Adams County; Nebraska,15.280853835092,4187,521,1991,154,1816,173,1259,412,71,59,535,154,154,105,295,153,630,81,1199,325,692,200,371,159,74,76,1047,687,69,43,154,101,51,58,123,60,71,3,31.1,9.6,3.5,2.7,29.5,8.0,5.4,3.6,7.0,3.6,15.0,2.6,28.6,4.9,16.5,4.2,20.4,8.5,1.9,2.0,25.0,16.1,3.5,2.1,7.7,4.8,2.8,3.2,6.8,3.1,1.7,0.2,0.8584,0.6788,0.7582,0.4185,0.5245,3.2384,0.7491,0.4022,0.7989,0.8131,0.9836,0.692,3.6898,0.9818,0.6938,0.6938,0.6938,0.42,0.8709,0.7673,0.7473,0.6975,3.503,0.9364,11.125,0.9145,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5419,266,115,0,10,944,314,0,10,6,10,0,10,82,67,15,27,14.6,6.0,0.0,0.6,22.5,6.4,0.0,0.6,0.1,0.2,0.0,0.6,2.0,1.6,0.4,0.6
31,Nebraska,NE,31001,Adams County,31001966100,Census Tract 9661; Adams County; Nebraska,6.456201504184,2385,283,1250,156,1148,131,1085,207,54,53,533,143,356,171,313,173,667,111,393,130,524,101,74,45,190,175,745,364,353,118,221,77,22,37,187,74,350,11,53.5,7.0,5.2,5.1,46.4,11.3,23.6,10.5,13.8,6.7,28.0,5.6,16.5,4.4,23.1,5.3,6.4,3.9,8.3,7.6,31.2,14.8,28.2,8.8,17.7,5.9,1.9,3.2,16.3,5.9,14.7,1.8,0.971,0.8512,0.9709,0.9402,0.8657,4.599,0.9709,0.9402,0.1014,0.98,0.6909,0.9348,3.6473,0.9691,0.7663,0.7663,0.7663,0.8745,0.9691,0.6545,0.9473,0.9656,4.411,1.0,13.4236,0.9964,1,0,1,1,0,3,1,0,1,0,1,3,0,0,0,1,0,1,1,3,9,3361,324,82,8,12,634,291,72,61,0,10,0,10,16,18,15,23,28.2,7.3,0.3,0.5,26.6,10.4,3.0,2.6,0.0,1.0,0.0,1.0,0.7,0.7,0.6,0.9
31,Nebraska,NE,31001,Adams County,31001966200,Census Tract 9662; Adams County; Nebraska,340.756467599324,2493,230,1042,85,927,82,236,64,14,11,102,35,95,33,55,31,424,57,788,160,292,65,17,12,18,41,134,311,4,11,37,32,11,17,10,7,0,10,9.5,2.4,1.2,0.9,11.0,3.6,6.1,2.1,2.2,1.2,17.0,2.5,31.6,4.4,11.7,2.7,1.8,1.3,0.8,1.8,5.4,12.5,0.4,1.1,3.6,3.0,1.2,1.8,1.1,0.7,0.0,0.4,0.2341,0.2287,0.0727,0.4909,0.1034,1.1298,0.1145,0.4982,0.9076,0.4483,0.1418,0.4873,2.4832,0.5109,0.1141,0.1141,0.1141,0.1982,0.7055,0.4982,0.1673,0.0,1.5692,0.2218,5.2963,0.1509,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1158,151,42,4,8,80,46,11,19,0,10,0,10,39,69,0,10,16.3,4.4,0.2,0.3,3.2,1.9,0.4,0.8,0.0,1.0,0.0,1.0,1.6,2.7,0.0,1.0
31,Nebraska,NE,31003,Antelope County,31003979600,Census Tract 9796; Antelope County; Nebraska,486.46526121552,1951,184,955,67,732,63,394,118,5,5,109,39,82,41,120,74,381,68,528,103,254,67,14,14,33,52,45,264,6,13,38,21,9,13,15,13,0,10,20.5,5.8,0.5,0.4,14.9,5.2,6.2,3.1,6.2,3.8,19.5,3.3,27.1,3.3,13.0,3.0,1.9,1.9,1.8,2.8,2.3,13.5,0.6,1.4,4.0,2.1,1.2,1.8,2.0,1.7,0.0,0.5,0.6279,0.0871,0.22,0.5072,0.4682,1.9104,0.3636,0.6105,0.7174,0.5717,0.1509,0.6812,2.7317,0.6564,0.0145,0.0145,0.0145,0.22,0.7273,0.4982,0.3018,0.0,1.7473,0.2764,6.4039,0.3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,145,38,3,5,19,20,0,10,0,10,1,2,20,11,2,5,19.8,5.0,0.2,0.2,1.0,1.0,0.0,1.3,0.0,1.3,0.1,0.1,1.0,0.6,0.1,0.3
31,Nebraska,NE,31003,Antelope County,31003979700,Census Tract 9797; Antelope County; Nebraska,9.713130948208,1683,143,821,59,676,63,208,58,32,23,124,38,74,40,68,36,403,58,467,79,203,55,34,24,30,41,211,205,48,26,20,24,11,13,53,26,58,20,12.8,3.4,3.9,2.7,18.3,5.4,6.8,3.6,4.2,2.3,23.9,3.0,27.7,3.2,12.5,3.1,5.0,3.5,1.9,2.6,12.5,12.1,5.8,3.1,2.4,2.9,1.6,1.9,7.8,3.8,3.4,1.2,0.3539,0.7296,0.3982,0.5543,0.2559,2.2919,0.4636,0.8351,0.7536,0.5263,0.5418,0.692,3.3488,0.9255,0.3949,0.3949,0.3949,0.5091,0.6291,0.5836,0.7891,0.8514,3.3623,0.9036,9.3979,0.7527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,140,48,13,9,166,40,0,10,9,11,0,10,14,13,9,13,20.7,6.6,0.8,0.5,9.9,2.6,0.0,1.5,0.5,0.6,0.0,1.5,0.8,0.8,0.5,0.8
